map,difficulty,planner,success,n_iters,wall_time_s,path_distance,path_smoothness,min_sdf,goal_error,final_rho,final_violation,n_active,avg_inner,error
easy_1,easy,gd,True,41,0.010276600020006299,17.10066942817129,51.72658305636277,0.41904361424333136,0.048456526547736065,nan,nan,nan,nan,
easy_1,easy,agd,True,13,0.006156199844554067,27.96503237997058,568.2318572828614,-0.28023278460973666,0.04775757373674104,nan,nan,nan,nan,
easy_1,easy,newton,False,2000,0.9485558001324534,19.32814282728246,210.50275893679762,0.5183607209455434,1.2488367095794177,nan,nan,nan,nan,
easy_1,easy,bfgs,True,43,0.02767800004221499,20.294593562859102,61.69720246975721,0.44622113239987216,0.04810299062879965,nan,nan,nan,nan,
easy_1,easy,alm,True,8,4.451769799925387,11.706049472110621,0.02625531878882236,0.48518083624451425,0.0,128.0,0.0004069288517107861,3,58.55555555555556,
easy_2,easy,gd,True,50,0.012917099986225367,17.588166820691082,28.029100377743163,0.42267052109853154,0.04327102141997101,nan,nan,nan,nan,
easy_2,easy,agd,True,17,0.005979700013995171,12.98083227840646,7.401776468011973,0.6032390659225715,0.02932987672292743,nan,nan,nan,nan,
easy_2,easy,newton,False,2000,0.9318703000899404,24.789213288196347,63.414032818628186,0.76253977565348,1.2481462367663732,nan,nan,nan,nan,
easy_2,easy,bfgs,True,40,0.02398580010049045,17.7471842739,33.57973123900639,0.3991143760668201,0.047061632100861416,nan,nan,nan,nan,
easy_2,easy,alm,True,7,0.24113149987533689,11.421370509859875,0.007969600055584329,0.48431581348082675,0.0,32.0,0.0007957129586027012,4,52.0,
easy_3,easy,gd,True,34,0.008196400012820959,11.383718049858457,0.6684067170666327,0.7618387623803685,0.047005857843537335,nan,nan,nan,nan,
easy_3,easy,agd,False,2000,1.4494972000829875,18.34754784451883,39.05482940738084,0.4188978618466219,1.2495147074344584,nan,nan,nan,nan,
easy_3,easy,newton,False,2000,0.9148476000409573,79.5567655941503,1250.8584858886613,0.09805846255689576,1.2440888915805492,nan,nan,nan,nan,
easy_3,easy,bfgs,True,23,0.013778600143268704,12.565947013385793,7.184161436165305,0.6723018776582529,0.04709034759541833,nan,nan,nan,nan,
easy_3,easy,alm,True,0,0.017327799927443266,11.31370866125487,5.777910040133854e-09,0.518376812537357,0.0,1.0,0.0,0,27.0,
medium_1,medium,gd,True,34,0.011159499874338508,12.303529162236362,4.354351260665358,0.6981032463418058,0.04855519021049791,nan,nan,nan,nan,
medium_1,medium,agd,True,15,0.006625399924814701,13.242211061526175,2.7173713054591704,1.1138338267108194,0.02033395132928683,nan,nan,nan,nan,
medium_1,medium,newton,True,29,0.010991699993610382,11.306777295844746,11.216489257439475,0.6981032463418058,0.043096360023977334,nan,nan,nan,nan,
medium_1,medium,bfgs,True,25,0.02191529981791973,12.230842385382228,5.132129483553871,0.6913422820800361,0.04316063522553681,nan,nan,nan,nan,
medium_1,medium,alm,True,0,0.024431300116702914,11.313708661251116,5.7805976408059575e-09,0.6919823417430864,0.0,1.0,0.0,0,27.0,
medium_2,medium,gd,True,36,0.01002030004747212,12.43952042350471,5.293880087899186,0.558910178775414,0.04377508478858447,nan,nan,nan,nan,
medium_2,medium,agd,True,13,0.0050762000028043985,12.138840063007002,4.964276397975076,0.7160995216340393,0.029335665269851954,nan,nan,nan,nan,
medium_2,medium,newton,True,33,0.010987399844452739,12.463531388564403,8.714856027561785,0.9874960440353433,0.04523543545149039,nan,nan,nan,nan,
medium_2,medium,bfgs,True,21,0.015261400025337934,11.650825587429594,1.6569653591067135,0.7275644265567438,0.04734308789836617,nan,nan,nan,nan,
medium_2,medium,alm,True,7,0.2322442999575287,11.324791236723772,0.0008653843835092326,0.48871273056283404,0.0,64.0,0.0003360111458028392,2,39.75,
medium_3,medium,gd,True,38,0.009513600030913949,14.80732499589798,22.27018177791082,0.5119378862999029,0.04287445783806483,nan,nan,nan,nan,
medium_3,medium,agd,True,21,0.009357000002637506,16.61528190169055,19.373751510846354,0.48106574980121497,0.04526730156918306,nan,nan,nan,nan,
medium_3,medium,newton,True,34,0.010105499997735023,15.058462282320765,45.548135175049964,0.8165796953431559,0.043882863108735376,nan,nan,nan,nan,
medium_3,medium,bfgs,True,39,0.025643300032243133,15.372356673128213,13.02378876075995,0.6208857831750247,0.04307926689502827,nan,nan,nan,nan,
medium_3,medium,alm,True,9,0.4279483000282198,11.84344783475384,0.06128929965844941,0.48224289576244406,0.0,128.0,0.000742843332215859,7,75.4,
hard_1,hard,gd,True,40,0.01845080009661615,13.838062149196336,11.848161397445581,0.45457318635909827,0.04346689953602397,nan,nan,nan,nan,
hard_1,hard,agd,True,17,0.021303500048816204,14.544649171790203,20.38761136159421,0.6704498943343312,0.022243635434017788,nan,nan,nan,nan,
hard_1,hard,newton,True,67,0.03556500002741814,19.60376112180623,93.29166650243043,0.40650416323059213,0.04834479612066782,nan,nan,nan,nan,
hard_1,hard,bfgs,True,25,0.03276949981227517,14.10619128522345,16.101007888119742,0.4544858489642758,0.04642522958495619,nan,nan,nan,nan,
hard_1,hard,alm,True,9,0.5673922998830676,11.404653059217237,0.014067830635450342,0.4807957277144397,0.0,128.0,0.00016880718681433482,3,49.9,
hard_2,hard,gd,True,59,0.026038100011646748,14.991597922199862,15.123352971878942,0.47721917669175973,0.04280866771691137,nan,nan,nan,nan,
hard_2,hard,agd,True,15,0.008972299983724952,13.090499560940392,6.566591917466574,0.418664526748882,0.03991898619622498,nan,nan,nan,nan,
hard_2,hard,newton,False,2000,1.2903843999374658,45.56994070441512,161.00441672332903,0.629532194681623,1.2446681367588335,nan,nan,nan,nan,
hard_2,hard,bfgs,True,52,0.06000639987178147,18.84843643729085,34.984088285303926,0.45428622146770103,0.04493545393135102,nan,nan,nan,nan,
hard_2,hard,alm,True,8,0.5233124999795109,11.706247685050528,0.0406273608971117,0.4802759557140235,0.0,128.0,0.00029612929763289664,6,56.77777777777778,
hard_3,hard,gd,True,97,0.03354199999012053,26.491785091281763,93.79143013344222,0.3969958998921855,0.04963282261906339,nan,nan,nan,nan,
hard_3,hard,agd,True,36,0.02695490000769496,24.15971314789823,73.86891437906672,0.17984849793844132,0.0467570925396023,nan,nan,nan,nan,
hard_3,hard,newton,True,27,0.011709499871358275,15.588002272505701,61.978225055877786,0.5343610463300743,0.04351213617101992,nan,nan,nan,nan,
hard_3,hard,bfgs,True,577,0.6353599999565631,37.23607198356558,288.98594603479523,0.06030931682703716,0.03940094412199112,nan,nan,nan,nan,
hard_3,hard,alm,True,12,0.6764214001595974,11.582246922226043,0.21145857237303808,0.4512801000303875,0.0,1024.0,0.0003504349851496946,9,64.53846153846153,
