outer_iter,cost,violation,min_sdf,rho,inner_iters,n_active
0,42.84785276949359,0.36075462976552475,0.13897625191541552,1.0,58,0
1,43.074147699570574,0.2684049316119633,0.23053954155329925,1.0,50,5
2,43.22081116106992,0.16191724838720756,0.3341403350433487,2.0,59,3
3,43.3011114290021,0.07988444274276063,0.413679668407983,4.0,67,3
4,43.330385505912666,0.039039938853059675,0.4540740887383533,8.0,64,3
5,43.34628569519745,0.02342427821641757,0.46949346733474295,16.0,42,3
6,43.36105483024759,0.014852236992340173,0.47604268113036097,32.0,39,4
7,43.36941431560963,0.0035272727164165074,0.4806718972609296,64.0,58,3
8,43.37040060942081,0.0010007511013268022,0.480834454928993,64.0,43,3
9,43.3704954704239,0.00016880718681433482,0.4807957277144397,128.0,19,3
