outer_iter,cost,violation,min_sdf,rho,inner_iters,n_active
0,43.82481849742353,0.5609814109008179,-0.06474462285995386,1.0,60,0
1,45.1636895813846,0.40890722283689107,0.08806625034502424,1.0,81,12
2,46.027166310357956,0.26423753520630255,0.22812773384530682,2.0,86,12
3,46.42590344495075,0.1847737033654404,0.31242013162208826,4.0,103,11
4,46.35152250484935,0.15378553509462045,0.3260106776393331,8.0,71,11
5,46.57876798001072,0.06496994922628607,0.4162931157832097,16.0,87,10
6,46.7601757009115,0.04045225617810666,0.4488949979396444,32.0,82,8
7,46.786819104347146,0.01668904598362575,0.4726730220566162,64.0,62,9
8,46.81678243327177,0.0031546957266781472,0.4800324686159372,128.0,69,9
9,46.818641615523205,0.000742843332215859,0.48224289576244406,128.0,53,7
