map,planner,success,n_iters,wall_time_s,path_distance,path_smoothness,min_sdf,goal_error
easy_1,gd,True,41,0.01109719998203218,17.10066942817129,51.72658305636277,0.41904361424333136,0.048456526547736065
easy_1,agd,True,13,0.005138699896633625,27.96503237997058,568.2318572828614,-0.28023278460973666,0.04775757373674104
easy_2,gd,True,50,0.013314399868249893,17.588166820691082,28.029100377743163,0.42267052109853154,0.04327102141997101
easy_2,agd,True,17,0.006441699806600809,12.98083227840646,7.401776468011973,0.6032390659225715,0.02932987672292743
easy_3,gd,True,34,0.008679699851199985,11.383718049858457,0.6684067170666327,0.7618387623803685,0.047005857843537335
easy_3,agd,False,2000,1.4714404998812824,18.34754784451883,39.05482940738084,0.4188978618466219,1.2495147074344584
medium_1,gd,True,34,0.010584799805656075,12.303529162236362,4.354351260665358,0.6981032463418058,0.04855519021049791
medium_1,agd,True,15,0.005939099937677383,13.242211061526175,2.7173713054591704,1.1138338267108194,0.02033395132928683
medium_2,gd,True,36,0.010053700068965554,12.43952042350471,5.293880087899186,0.558910178775414,0.04377508478858447
medium_2,agd,True,13,0.005149500211700797,12.138840063007002,4.964276397975076,0.7160995216340393,0.029335665269851954
medium_3,gd,True,38,0.009289800189435482,14.80732499589798,22.27018177791082,0.5119378862999029,0.04287445783806483
medium_3,agd,True,21,0.008694599848240614,16.61528190169055,19.373751510846354,0.48106574980121497,0.04526730156918306
hard_1,gd,True,40,0.01763460016809404,13.838062149196336,11.848161397445581,0.45457318635909827,0.04346689953602397
hard_1,agd,True,17,0.015428199898451567,14.544649171790203,20.38761136159421,0.6704498943343312,0.022243635434017788
hard_2,gd,True,59,0.024721099995076656,14.991597922199862,15.123352971878942,0.47721917669175973,0.04280866771691137
hard_2,agd,True,15,0.009006200125440955,13.090499560940392,6.566591917466574,0.418664526748882,0.03991898619622498
hard_3,gd,True,97,0.033192000119015574,26.491785091281763,93.79143013344222,0.3969958998921855,0.04963282261906339
hard_3,agd,True,36,0.02063719998113811,24.15971314789823,73.86891437906672,0.17984849793844132,0.0467570925396023
